dataset,sra_study,run,brain_region,stress_condition,layout,read_len
GSE89692,SRP093288,SRR8956213,vHIP,Control,paired,125
GSE89692,SRP093288,SRR8956225,vHIP,Control,paired,125
GSE89692,SRP093288,SRR8956253,vHIP,Control,paired,125
GSE89692,SRP093288,SRR8956257,vHIP,Control,paired,125
GSE89692,SRP093288,SRR8956265,vHIP,Control,paired,125
GSE89692,SRP093288,SRR8956293,vHIP,Control,paired,125
GSE89692,SRP093288,SRR8956214,vHIP,ELS,paired,125
GSE89692,SRP093288,SRR8956226,vHIP,ELS,paired,125
GSE89692,SRP093288,SRR8956254,vHIP,ELS,paired,125
GSE89692,SRP093288,SRR8956258,vHIP,ELS,paired,125
GSE89692,SRP093288,SRR8956266,vHIP,ELS,paired,125
GSE89692,SRP093288,SRR8956294,vHIP,ELS,paired,125
GSE89692,SRP093288,SRR8956227,vHIP,CSDS,paired,125
GSE89692,SRP093288,SRR8956231,vHIP,CSDS,paired,125
GSE89692,SRP093288,SRR8956239,vHIP,CSDS,paired,125
GSE89692,SRP093288,SRR8956259,vHIP,CSDS,paired,125
GSE89692,SRP093288,SRR8956267,vHIP,CSDS,paired,125
GSE89692,SRP093288,SRR8956295,vHIP,CSDS,paired,125
GSE89692,SRP093288,SRR8956296,vHIP,EC,paired,125
GSE89692,SRP093288,SRR8956228,vHIP,EC,paired,125
GSE89692,SRP093288,SRR8956232,vHIP,EC,paired,125
GSE89692,SRP093288,SRR8956240,vHIP,EC,paired,125
GSE89692,SRP093288,SRR8956260,vHIP,EC,paired,125
GSE89692,SRP093288,SRR8956268,vHIP,EC,paired,125
GSE89692,SRP093288,SRR8956195,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956215,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956237,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956249,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956287,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956191,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956199,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956200,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956203,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956209,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956245,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956255,mPFC,Control,paired,125
GSE89692,SRP093288,SRR8956197,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956205,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956220,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956238,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956250,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956288,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956201,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956210,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956217,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956246,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956256,mPFC,ELS,paired,125
GSE89692,SRP093288,SRR8956251,mPFC,CSDS,paired,125
GSE89692,SRP093288,SRR8956289,mPFC,CSDS,paired,125
GSE89692,SRP093288,SRR8956291,mPFC,CSDS,paired,125
GSE89692,SRP093288,SRR8956211,mPFC,CSDS,paired,125
GSE89692,SRP093288,SRR8956223,mPFC,CSDS,paired,125
GSE89692,SRP093288,SRR8956263,mPFC,CSDS,paired,125
GSE89692,SRP093288,SRR8956252,mPFC,EC,paired,125
GSE89692,SRP093288,SRR8956290,mPFC,EC,paired,125
GSE89692,SRP093288,SRR8956292,mPFC,EC,paired,125
GSE89692,SRP093288,SRR8956212,mPFC,EC,paired,125
GSE89692,SRP093288,SRR8956224,mPFC,EC,paired,125
GSE89692,SRP093288,SRR8956264,mPFC,EC,paired,125
GSE89692,SRP093288,SRR8956305,NAc,Control,single,100
GSE89692,SRP093288,SRR8956306,NAc,Control,single,100
GSE89692,SRP093288,SRR8956307,NAc,Control,single,100
GSE89692,SRP093288,SRR8956308,NAc,Control,single,100
GSE89692,SRP093288,SRR8956309,NAc,Control,single,100
GSE89692,SRP093288,SRR8956310,NAc,Control,single,100
GSE89692,SRP093288,SRR8956311,NAc,Control,single,100
GSE89692,SRP093288,SRR8956312,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956313,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956314,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956315,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956319,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956320,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956321,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956316,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956317,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956318,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956322,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956323,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956324,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956325,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956326,NAc,ELS,single,100
GSE89692,SRP093288,SRR8956327,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956328,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956329,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956330,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956331,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956332,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956333,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956334,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956335,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956336,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956337,NAc,CSDS,single,100
GSE89692,SRP093288,SRR8956338,NAc,EC,single,100
GSE89692,SRP093288,SRR8956339,NAc,EC,single,100
GSE89692,SRP093288,SRR8956340,NAc,EC,single,100
GSE89692,SRP093288,SRR8956341,NAc,EC,single,100
GSE89692,SRP093288,SRR8956342,NAc,EC,single,100
GSE89692,SRP093288,SRR8956343,NAc,EC,single,100
GSE89692,SRP093288,SRR8956344,NAc,EC,single,100
GSE89692,SRP093288,SRR8956346,NAc,EC,single,100
GSE89692,SRP093288,SRR8956347,NAc,EC,single,100
GSE89692,SRP093288,SRR8956348,NAc,EC,single,100
GSE89692,SRP093288,SRR8956349,NAc,EC,single,100
GSE89692,SRP093288,SRR8956350,NAc,EC,single,100
GSE89692,SRP093288,SRR8956354,NAc,EC,single,100
GSE89692,SRP093288,SRR8956355,NAc,EC,single,100
GSE89692,SRP093288,SRR8956356,NAc,EC,single,100
GSE89692,SRP093288,SRR8956357,NAc,EC,single,100
GSE89692,SRP093288,SRR8956345,NAc,EC,single,100
GSE89692,SRP093288,SRR8956351,NAc,EC,single,100
GSE89692,SRP093288,SRR8956352,NAc,EC,single,100
GSE89692,SRP093288,SRR8956353,NAc,EC,single,100
GSE89692,SRP093288,SRR5007786,VTA,Control,single,100
GSE89692,SRP093288,SRR5007787,VTA,Control,single,100
GSE89692,SRP093288,SRR5007788,VTA,Control,single,100
GSE89692,SRP093288,SRR5007789,VTA,Control,single,100
GSE89692,SRP093288,SRR5007776,VTA,ELS,single,100
GSE89692,SRP093288,SRR5007777,VTA,ELS,single,100
GSE89692,SRP093288,SRR5007778,VTA,ELS,single,100
GSE89692,SRP093288,SRR5007779,VTA,ELS,single,100
GSE89692,SRP093288,SRR5007790,VTA,CSDS,single,100
GSE89692,SRP093288,SRR5007791,VTA,CSDS,single,100
GSE89692,SRP093288,SRR5007792,VTA,CSDS,single,100
GSE89692,SRP093288,SRR5007793,VTA,CSDS,single,100
GSE89692,SRP093288,SRR5007794,VTA,CSDS,single,100
GSE89692,SRP093288,SRR5007795,VTA,CSDS,single,100
GSE89692,SRP093288,SRR5007780,VTA,EC,single,100
GSE89692,SRP093288,SRR5007781,VTA,EC,single,100
GSE89692,SRP093288,SRR5007782,VTA,EC,single,100
GSE89692,SRP093288,SRR5007783,VTA,EC,single,100
GSE89692,SRP093288,SRR5007784,VTA,EC,single,100
GSE89692,SRP093288,SRR5007785,VTA,EC,single,100
